"name","slug","specs","meta_title","meta_description","compatible_products"
"Вал 1М63.71.191","val-1m63-71-191","[{""key"":""Применимость:"",""value"":""Коробка подач""}]","Вал 1М63.71.191","Вал 1М63.71.191 применяется в токарно-винторезном станке модели 1М63 (аналоги 163, ДИП-300), РТ301. РТ30102
Эта деталь входит в состав коробки подач (группа 71), используется как промежуточный вал зубчатой передачи для переключения и передачи скоростей подач суппорта при токарной обработке и нарезании резьбы.

Станок 1М63 предназначен для токарной обработки деталей средних размеров массой до 3,5 тонн, диаметром до 630 мм в единичном и мелкосерийном производстве.
​","[{""spare_part_id"":""e7559a41-58a4-4cba-bffe-cccd2aa4eac2""},{""spare_part_id"":""e7559a41-58a4-4cba-bffe-cccd2aa4eac2""},{""spare_part_id"":""e7559a41-58a4-4cba-bffe-cccd2aa4eac2""}]"
"Вал 16М50.70.190","val-16m50-70-190","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B20""}]","Вал 16М50.70.190","ал 16М50.70.190 применяется в токарно-винторезном станке модели 16М50 (аналоги 16К50), РТ817, РТ117
Эта деталь входит в состав электрического оборудования или фартука (группа 70), используется как промежуточный вал для передачи движения в механизмах управления подачей суппорта или быстрым перемещением (аналогично валу 16М50.70.168).

Станок 16М50 предназначен для токарной обработки заготовок массой до 20 тонн и диаметром до 1600 мм в серийном и ремонтном производстве.
​
","[{""spare_part_id"":""e8674240-7f30-48c5-995e-64cf931446e4""},{""spare_part_id"":""e8674240-7f30-48c5-995e-64cf931446e4""},{""spare_part_id"":""e8674240-7f30-48c5-995e-64cf931446e4""}]"
"Колесо зубчатое 1М63.61.180","koleso-zubcatoe-1m63-61-180","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""100""},{""key"":""Число зубьев, z"",""value"":""52""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1М63.61.180","Колесо зубчатое 1М63.61.180 применяется в фартуке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н, 163). Эта деталь относится к группе 61 (или 06/60), которая отвечает за механизмы автоматических подач суппорта: Является промежуточным зубчатым колесом в кинематической цепи фартука. Передает крутящий момент от червячной пары на выходные шестерни, обеспечивающие продольное или поперечное перемещение инструмента. Работает в каскаде с другими деталями этой группы (например, шестернями .253, .259, .294)
Тип: Цилиндрическое прямозубое колесо.
Материал: Сталь 40Х или 45 с обязательной закалкой зубьев (ТВЧ), так как деталь работает под нагрузкой при включении самохода.


","[{""spare_part_id"":""e903bc8f-9aee-4c50-b6d3-e91b0739aabf""},{""spare_part_id"":""e903bc8f-9aee-4c50-b6d3-e91b0739aabf""},{""spare_part_id"":""e903bc8f-9aee-4c50-b6d3-e91b0739aabf""}]"
"Вал 1М983.74.007","val-1m983-74-007","[{""key"":""Применимость:"",""value"":""Коробка реверс""}]","Вал 1М983.74.007","Вал 1М983.74.007 применяется в трубонарезном универсальном станке модели 1М983 (аналоги 1А983, 1Н983, РТ983)
Эта деталь входит в состав механизма подачи или коробки скоростей (группа 74), используется как ведущий вал для передачи движения в системе нарезания резьбы на трубах, обеспечивая точное обтачивание концов и нарезку специальных резьб (НКТ, НКМ, ОТТМ, батресс).
Станок 1М983 предназначен для обработки труб, штанг, замков и деталей трубных соединений в нефтедобывающей промышленности, для нарезки резьбы по ГОСТ 633-80 и 832-80 в единичном и мелкосерийном производстве.
​","[{""spare_part_id"":""e97f3383-328a-4cfd-acbd-ce4e4f011b3b""}]"
"Колесо зубчатое 1А64.06.398","koleso-zubcatoe-1a64-06-398","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""121""},{""key"":""Число зубьев, z"",""value"":""51""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, мм"",""value"":""20""}]","Колесо зубчатое 1А64.06.398","Зубчатое колесо с артикулом 1А64.06.398 применяется в токарно-винторезном станке модели 1А64 (аналоги — 164, ДИП-500, ДИП-400), 1Н65, РТ117, РТ817
Эта деталь входит в состав коробки подач станка 1А64.06, где используется в зубчатых передачах для переключения скоростей подач суппорта.
Станок 1А64 предназначен для токарной обработки заготовок массой до 5 тонн в единичном и мелкосерийном производстве, ремонтных и инструментальных цехах.","[{""spare_part_id"":""e99d512e-2957-4b93-a18d-cad3420d159f""},{""spare_part_id"":""e99d512e-2957-4b93-a18d-cad3420d159f""},{""spare_part_id"":""e99d512e-2957-4b93-a18d-cad3420d159f""}]"
"Колесо зубчатое 1М63Б.70.213","koleso-zubcatoe-1m63b-70-213","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""47""},{""key"":""Число зубьев, z"",""value"":""28""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""17""}]","Колесо зубчатое 1М63Б.70.213","Колесо зубчатое 1М63Б.70.213 применяется в задней бабке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н, 163).
Эта деталь входит в ту же группу 70.
Является элементом редуктора перемещения задней бабки.
 В станках серии 1М63 задняя бабка перемещается по станине не напрямую маховиком, а через промежуточный шестеренчатый редуктор, чтобы снизить физическое усилие токаря. Колесо .213 передает крутящий момент внутри этого механизма.
Находится внутри корпуса задней бабки, на осях привода перемещения.
","[{""spare_part_id"":""ec10fe2d-54cc-47c7-9acb-641480e9fc86""},{""spare_part_id"":""ec10fe2d-54cc-47c7-9acb-641480e9fc86""},{""spare_part_id"":""ec10fe2d-54cc-47c7-9acb-641480e9fc86""}]"
"Колесо зубчатое 164.02.173","koleso-zubcatoe-164-02-173","[{""key"":""Применимость: "",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""28""},{""key"":""Число зубьев, z"",""value"":""38""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""50""}]","Колесо зубчатое 164.02.173","Колесо зубчатое 164.02.173 (также может встречаться в каталогах как 1А64.02.173) — это деталь входной группы привода тяжелых токарных станков.
Устанавливается в бабке шпиндельной (коробке скоростей) станков серии:
164, 1Н65, РТ117, РТ817
1А64 (ДИП 400)
Это колесо расположено на II оси (втором валу) коробки скоростей. Оно является частью передаточного механизма, который принимает крутящий момент от входного (первого) вала и передает его дальше по кинематической цепи на промежуточные валы.
В паре с этим колесом обычно работают передвижные блоки шестерен I или III оси, формируя начальные ступени скоростей вращения шпинделя.
Поскольку это одна из ""быстроходных"" осей (расположена близко к двигателю), деталь работает при относительно высоких оборотах. Износ зубьев на этом колесе часто сопровождается повышенным гулом в передней бабке станка. При замене рекомендуется проверять состояние сопряженного блока шестерен I оси (например, 1А64.02.151), так как они работают в постоянном контакте.","[{""spare_part_id"":""ec53d713-7f9a-4abb-b110-144de3d0d16e""},{""spare_part_id"":""ec53d713-7f9a-4abb-b110-144de3d0d16e""},{""spare_part_id"":""ec53d713-7f9a-4abb-b110-144de3d0d16e""}]"
"Шарико-винтовая пара (ШВП) 30.06.600","sarjko-vjntovaa-para-svp-30-06-600","[{""key"":""Устанавливается на станке:"",""value"":""1В340Ф3 ""},{""key"":""Общая длина, мм"",""value"":""365""},{""key"":""Длина резьбы, мм"",""value"":""225""}]","Шарико-винтовая пара (ШВП) 30.06.600","Шарико-винтовая пара (ШВП) 30.06.600 применяется в специальных карусельно-токарных станках с ЧПУ модели 1В340Ф3 (и аналогах 1Г340).
Эта ШВП используется для преобразования вращательного движения в прямолинейное перемещение поступательно движущихся узлов, устанавливается на поперечное и продольное перемещение суппортов станка с кинематической точностью 4-6 мкм (класс П3).
Станок 1В340Ф3 предназначен для программной токарной обработки крупных деталей диаметром до 3400 мм, массой до 32 тонн в серийном производстве машиностроения и тяжелого машиностроения.
​","[]"
"Колесо зубчатое 1658.07.163","koleso-zubcatoe-1658-07-163","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""68""},{""key"":""Число зубьев, z"",""value"":""51""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1658.07.163","Колесо зубчатое  с чертежным номером 1658.07.163 применяется в коробке подач тяжелого токарно-винторезного станка модели 165 (и его модификаций, таких как 1М65, 1А65, РТ117, РТ817, 1Н65, ДИП 500).
Узел: 07 (Коробка подач). Обратите внимание, что маркировка 1658 указывает на принадлежность к размерному ряду станка 165 (ДИП 500), который мощнее и крупнее, чем 1А64 (ДИП 400)

Назначение: Это силовое зубчатое колесо, участвующее в передаче крутящего момента в кинематической цепи подач. Оно отвечает за формирование рабочих подач суппорта и шагов нарезаемых резьб.
","[{""spare_part_id"":""ed75860b-434e-4737-8497-07d9ffee0af0""},{""spare_part_id"":""ed75860b-434e-4737-8497-07d9ffee0af0""},{""spare_part_id"":""ed75860b-434e-4737-8497-07d9ffee0af0""}]"
"Колесо зубчатое 1А64.02.850","koleso-zubcatoe-1a64-02-850","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""17""},{""key"":""Число зубьев, z"",""value"":""36""},{""key"":""Модуль, m"",""value"":""5""},{""key"":""Ширина обода, мм"",""value"":""30""}]","Колесо зубчатое 1А64.02.850","Зубчатое колесо 1А64.02.850 является важным элементом силовой передачи тяжелых токарных станков.
Устанавливается в бабке шпиндельной (коробке скоростей) станков серии:
1А64 (ДИП 400).
164, РТ117, РТ817
Это колесо расположено на VI оси (предпоследний вал перед шпинделем). Оно закреплено на валу и участвует в передаче крутящего момента на венечные шестерни шпинделя (VII ось).
В кинематической схеме станка 1А64 это колесо работает в паре с деталями, которые обеспечивают силовые (низкие и средние) режимы резания.","[{""spare_part_id"":""ee931d59-0c41-4da4-ae3c-7e6b745a5f17""},{""spare_part_id"":""ee931d59-0c41-4da4-ae3c-7e6b745a5f17""},{""spare_part_id"":""ee931d59-0c41-4da4-ae3c-7e6b745a5f17""}]"
"Колесо зубчатое 165.02.801","koleso-zubcatoe-165-02-801","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка ""},{""key"":""Позиция на кинематической схеме, №"",""value"":""14""},{""key"":""Число зубьев, z"",""value"":""38""},{""key"":""Модуль, m"",""value"":""6""},{""key"":""Ширина обода, мм "",""value"":""27""}]","Колесо зубчатое 165.02.801","Колесо зубчатое 165.02.801 — это одна из ключевых деталей привода главного движения для самых мощных токарных станков.
Устанавливается в бабке шпиндельной (коробке скоростей) тяжелых станков:
165
1М65 (ДИП 500)
1Н65, РТ117, РТ817
Это колесо расположено на V оси (пятом валу) коробки скоростей. Оно является промежуточным звеном, передающим крутящий момент от входных валов к финальным осям, непосредственно связанным со шпинделем.
","[{""spare_part_id"":""eed9b03f-ff32-4150-97a5-c064bb779674""},{""spare_part_id"":""eed9b03f-ff32-4150-97a5-c064bb779674""},{""spare_part_id"":""eed9b03f-ff32-4150-97a5-c064bb779674""}]"
"Валик 1А64.06.403","valjk-1a64-06-403","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B28""}]","Валик 1А64.06.403","Валик 1А64.06.403 применяется в токарно-винторезном станке модели 1А64 (аналоги 165, 1Н65, 1М65), РТ117, РТ817
Эта деталь входит в состав коробки подач (группа 06), используется для передачи вращения через зубчатые колеса в механизмах суппорта (упомянут в перечне запчастей среди аналогичных валиков 1А64.06.391)
Станок 1А64 предназначен для токарной обработки заготовок массой до 5 тонн в единичном и мелкосерийном производстве.
","[{""spare_part_id"":""eeee99ce-11f8-4c9d-9c15-9025f9b5ca80""},{""spare_part_id"":""eeee99ce-11f8-4c9d-9c15-9025f9b5ca80""},{""spare_part_id"":""eeee99ce-11f8-4c9d-9c15-9025f9b5ca80""}]"
"Шарико-винтовая пара (ШВП) РТ717Ф3.18.000","sarjko-vjntovaa-para-svp-rt717f3-18-000","[{""key"":""Устанавливается на станке:"",""value"":""РТ717Ф3""},{""key"":""Общая длина, мм"",""value"":""3890""},{""key"":""Общая длина резьбы, мм"",""value"":""3064""}]","Шарико-винтовая пара (ШВП) РТ717Ф3.18.000","Шарико-винтовая пара (ШВП) РТ717Ф3.18.000 применяется в специальном токарно-винторезном станке с ЧПУ модели РТ717Ф3.
​
Эта ШВП входит в состав механизма продольной подачи суппорта (группа 18), используется для высокоточного преобразования вращательного движения в линейное перемещение с кинематической точностью 4-6 мкм, обеспечивая позиционирование инструмента при обработке длинномерных деталей.
​
Станок РТ717Ф3 предназначен для программной токарной обработки цилиндрических, конических и контурных поверхностей деталей массой до 2 тонн в серийном производстве машиностроения.
​
","[]"
"Накатное устройство РТ30101.41.000","nakatnoe-ustroistvo-rt30101-41-000","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Финишная накатка осей:"",""value"":""РУ1, РУ1Ш и т.д.""},{""key"":""Шероховатость, Ra"",""value"":""≤1,25 мкм""}]","Накатное устройство станка РТ301","Накатное устройство станка РТ301 предназначено для финишной накатки подступичной части осей вагонных колесных пар (РУ1, РУ1Ш по ГОСТ 22780-93).
Устройство установлено на каретке суппорта и состоит из двух роликов — упрочняющего (радиус 15 мм со стороны оператора) и сглаживающего (радиус 50 мм с противоположной стороны). Ролики приводятся параллельно соединенными гидроцилиндрами Ø120 мм одностороннего действия, возврат пружинами; смещены на 5 мм для последовательной работы.

Принцип работы
Упрочняющий ролик деформирует поверхность, создавая сжимающие напряжения для повышения усталостной прочности. Сглаживающий следует за ним, устраняя микронеровности и обеспечивая качество Ra ≤1,25 мкм. Накатка в ручном (наладка) или полуавтоматическом режиме по упорам, подача каретки к передней бабке. Обработка осей до Ø200 мм, длиной 2200 мм за один установ в центрах; станок после снятия устройства работает как токарно-винторезный.
​
","[{""spare_part_id"":""ef5e3d24-fbdb-443f-8155-04f090f46996""},{""spare_part_id"":""ef5e3d24-fbdb-443f-8155-04f090f46996""},{""spare_part_id"":""ef5e3d24-fbdb-443f-8155-04f090f46996""},{""spare_part_id"":""ef5e3d24-fbdb-443f-8155-04f090f46996""}]"
d"":""ef6908e6-ab45-428f-8061-35859646fb7c""}]""Колесо зубчатое 1М63.21.368","koleso-zubcatoe-1m63-21-368","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""2""},{""key"":""Число зубьев, z"",""value"":""40""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""19""}]","Колесо зубчатое 1М63.21.368","Колесо зубчатое 1М63.21.368 применяется в шпиндельной бабке токарно винторезного станка модели Дип 300, 163, 1М63, 1М63Н","[{""spare_part_id"":""ef6908e6-ab45-428f-8061-35859646fb7c""},{""spare_part_id"":""ef6908e6-ab45-428f-8061-35859646fb7c""},{""spare_part_i
Эта деталь входит в группу 70 и является одним из валов редуктора перемещения задней бабки по станине:
 Служит опорой для установки промежуточных шестерен редуктора (например, .272, которую вы запрашивали ранее).
Участвует в передаче крутящего момента от маховика через систему зубчатых колес на реечное вал-колесо (1М63Б.70.240).
Работает в едином каскаде с валами .204 и .209, обеспечивая необходимое передаточное число для легкого перемещения массивного узла задней бабки вручную.
Материал: Сталь 45 или 40Х.","[{""spare_part_id"":""f05f8b2c-64ff-4247-b1e4-185e4143c779""},{""spare_part_id"":""f05f8b2c-64ff-4247-b1e4-185e4143c779""},{""spare_part_id"":""f05f8b2c-64ff-4247-b1e4-185e4143c779""},{""spare_part_id"":""f05f8b2c-64ff-4247-b1e4-185e4143c779""}]"
"Револьверная головка РТ755Ф3 ","revolevernaa-golovka-rt755f3","[{""key"":""Применимость:"",""value"":""Станок РТ755Ф3""},{""key"":""Количество позиций:"",""value"":""8""},{""key"":""Точность позиционирования, мм"",""value"":""0,001""},{""key"":""Время смены: сек"",""value"":""0,8-1,2""},{""key"":""Усилие зажима, кН"",""value"":""15""}]","Револьверная головка РТ755Ф3 - купить в ТД РУССтанкоСбыт","Револьверная головка РТ755Ф3.40.000 для токарных станков с ЧПУ. 8-ми позиционная, автоматическая смена инструмента. Надежная оснастка для точения. В наличии, быстрая поставка. Оставьте заявку!","[{""spare_part_id"":""f0e50ecb-c856-4334-bb80-0638cbb465c7""}]"
"Колесо зубчатое 1Н65.71.165","koleso-zubcatoe-1n65-71-165","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""109""},{""key"":""Число зубьев, z"",""value"":""44""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1Н65.71.165","Зубчатое колесо с артикулом 1Н65.71.165 применяется в токарно-винторезном станке модели 1Н65, РТ117, РТ817
Эта деталь входит в состав механизма шпиндельной бабки или редуктора станка 1Н65, где используется в зубчатых передачах для регулировки оборотов шпинделя.
Станок 1Н65 предназначен для токарной обработки крупных заготовок диаметром до 1000 мм над станиной и массой до 10 тонн, включая точение конусов и нарезку различных типов резьбы в серийном и ремонтном производстве.","[{""spare_part_id"":""f0ea8367-d592-40cd-a0c5-927f6ed2d210""},{""spare_part_id"":""f0ea8367-d592-40cd-a0c5-927f6ed2d210""},{""spare_part_id"":""f0ea8367-d592-40cd-a0c5-927f6ed2d210""}]"
"Валик 1Н65.69.180","valjk-1n65-69-180","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B27""}]","Валик 1Н65.69.180","Валик 1Н65.69.180 применяется в токарно-винторезном станке модели 1Н65 (аналоги 1М65, 165, 1А64), РТ117, РТ817.  Эта деталь входит в состав фартука или электрического оборудования (группа 69), используется как промежуточный валик для передачи движения в механизмах управления подачей суппорта или быстрым перемещением (аналогично валику 1Н65.60.179).
Станок 1Н65 предназначен для токарной обработки заготовок массой до 10 тонн и диаметром до 1000 мм в серийном и ремонтном производстве.
​
 ","[{""spare_part_id"":""f0ec8182-875a-4414-895d-dd76a872744e""},{""spare_part_id"":""f0ec8182-875a-4414-895d-dd76a872744e""},{""spare_part_id"":""f0ec8182-875a-4414-895d-dd76a872744e""}]"
"Колесо зубчатое 164.06.164","koleso-zubcatoe-164-06-164","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""117""},{""key"":""Число зубьев, z"",""value"":""30""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""25""}]","Колесо зубчатое 164.06.164","Зубчатое колесо с артикулом 164.06.164 применяется в токарно-винторезном станке модели 164 (аналог 1А64), 1Н65, РТ817, РТ117
Эта деталь входит в состав коробки подач станка 164.06, где используется в зубчатых передачах для переключения скоростей подач суппорта.
Станок 164 предназначен для токарной обработки заготовок массой до 5 тонн в единичном и мелкосерийном производстве, ремонтных и инструментальных цехах.
​
","[{""spare_part_id"":""f2396690-e204-4bee-a11f-c2b712352656""},{""spare_part_id"":""f2396690-e204-4bee-a11f-c2b712352656""},{""spare_part_id"":""f2396690-e204-4bee-a11f-c2b712352656""}]"
"Вал 1М63.71.206","val-1m63-71-206","[{""key"":""Применимость:"",""value"":""Коробка подач""}]","Вал 1М63.71.206","Вал 1М63.71.206 применяется в токарно-винторезном станке модели 1М63 (аналоги 163, ДИП-300), РТ301, РТ30102
Эта деталь входит в состав коробки подач фартука (группа 71), используется как промежуточный вал зубчатой передачи для дальнейшего переключения скоростей подач суппорта, аналогично валу 1М63.71.198 в кинематической цепи механизма резьбонарезания.

Станок 1М63 предназначен для токарной обработки деталей средних размеров массой до 3,5 тонн, диаметром до 630 мм в единичном и мелкосерийном производстве.
","[{""spare_part_id"":""f24ca162-eed1-4580-91b9-1d1d3d045483""},{""spare_part_id"":""f24ca162-eed1-4580-91b9-1d1d3d045483""},{""spare_part_id"":""f24ca162-eed1-4580-91b9-1d1d3d045483""}]"
"Колесо зубчатое 16М50.70.155","koleso-zubcatoe-16m50-70-155","[{""key"":""Применимость: "",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""111""},{""key"":""Число зубьев, z"",""value"":""51""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 16М50.70.155","Зубчатое колесо 16М50.70.155 применяется и используется в коробке подач токарных станков моделей ДИП500, 165, 1М65, 1Н65, РТ817, РТ117 при нарезание дюймовых (питьевых) резьб с формированием нужного шага перемещения суппорта, синхронизированного с шагом резьбы на детали. За счет разных комбинаций использования зубчатых колес в коробке подач и гитаре имеется возможность получить весь возможный диапазон резьб.","[{""spare_part_id"":""f2a23cfa-b713-43e3-b61b-2ce39f891946""},{""spare_part_id"":""f2a23cfa-b713-43e3-b61b-2ce39f891946""},{""spare_part_id"":""f2a23cfa-b713-43e3-b61b-2ce39f891946""}]"
"Вал 1М63.61.232","val-1m63-61-232","[{""key"":""Применимость: "",""value"":""Фартук""}]","Вал 1М63.61.232","Вал 1М63.61.232 применяется в токарно-винторезном станке модели 1М63 (аналоги 163, ДИП-300).
Эта деталь входит в состав электрического оборудования фартука (группа 61), используется как приводной вал электромагнитной муфты (с посадочными диаметрами 45/40/35 мм и длиной 220 мм) для автоматического включения/выключения продольной подачи суппорта.
Станок 1М63 предназначен для токарной обработки деталей средних размеров массой до 3,5 тонн, диаметром до 630 мм в единичном и мелкосерийном производстве.","[{""spare_part_id"":""f341225e-0d9d-4d02-b117-6e234ebfabb5""},{""spare_part_id"":""f341225e-0d9d-4d02-b117-6e234ebfabb5""},{""spare_part_id"":""f341225e-0d9d-4d02-b117-6e234ebfabb5""}]"
"Колесо зубчатое 1М63.21.364","koleso-zubcatoe-1m63-21-364","[{""key"":""Применимость"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""1""},{""key"":""Число зубьев, z"",""value"":""44""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""19""}]","Колесо зубчатое 1М63.21.364","Колесо зубчатое 1М63.21.364 применяется в шпиндельной бабке токарно винторезного станка модели Дип 300, 163, 1М63, 1М63Н","[{""spare_part_id"":""f3871b16-c284-4e0c-844d-5e9871f82bda""},{""spare_part_id"":""f3871b16-c284-4e0c-844d-5e9871f82bda""},{""spare_part_id"":""f3871b16-c284-4e0c-844d-5e9871f82bda""}]"
"Вал 2840П.64.205 привода стола станка 2840П","val-2840p-64-205-prjvoda-stola-stanka-2840p","{}","Вал 2840П.64.205 привода стола станка 2840П","Вал 2840П.64.205 – шлицевой вал или вал-шестерня узла 64 (механизм привода перемещений стола/салазок) тяжелого координатно-расточного станка 2840П повышенной точности. Часть кинематики редуктора подач, работает с валами .161/.181. Предлагаем к поставке оригинальную запчасть ЛСПО им. Свердлова, быстрая доставка по РФ.","[]"
"Вал 1М63.21.394","val-1m63-21-394","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В4""}]","Вал 1М63.21.394","Вал 1М63.21.394 применяется в узле ускоренных перемещений суппорта (группа 21) токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н, 16К40).
Этот вал является частью вспомогательного привода («быстрого хода»), расположенного в правой части станины:
Служит опорой для передачи вращения от электродвигателя ускоренных перемещений на ходовой вал. Работает в одной связке с валами .391 и .229. На нем могут быть установлены промежуточные шестерни или элементы обгонной муфты.
Обеспечивает передачу высокого крутящего момента при включении ускоренного перемещения суппорта (подвод/отвод инструмента).
Технические характеристики
Материал: Сталь 45 или 40Х.
Имеет прецизионно шлифованные посадочные места под подшипники и шпоночные пазы для жесткой фиксации элементов привода.


","[{""spare_part_id"":""f3e99cca-9604-422e-8722-f5b2c13abf62""},{""spare_part_id"":""f3e99cca-9604-422e-8722-f5b2c13abf62""},{""spare_part_id"":""f3e99cca-9604-422e-8722-f5b2c13abf62""},{""spare_part_id"":""f3e99cca-9604-422e-8722-f5b2c13abf62""}]"
"Вал 1Н983.20.292 ","val-1n983-20-292","[{""key"":""Применимость:"",""value"":""Патрон""},{""key"":""Исполнение, шлиц:"",""value"":""6 / 8""}]","Вал 1Н983.20.292 6-ти шлицевой для станка 1Н983","Вал 1Н983.20.292 6-ти шлицевой – запчасть для зажимного механизма патрона трубонарезного станка 1Н983. Обеспечивает надежный зажим-раздвиг кулачков патрона при обработке труб. Предлагаем к поставке оригинальную деталь, быстрая доставка по РФ","[{""spare_part_id"":""f44cd930-c63a-4935-91a5-c5c17f8f8f6d""}]"
"Колесо зубчатое 1М63Б.70.210","koleso-zubcatoe-1m63b-70-210","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""48""},{""key"":""Число зубьев, z"",""value"":""32""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1М63Б.70.210","Колесо зубчатое 1М63Б.70.210 применяется в задней бабке токарно-винторезного станка 1М63 (и его модификаций 1М63Б, 1М63Н, 163).
Эта деталь является частью того же редуктора перемещения задней бабки (группа 70)
Она входит в кинематическую цепочку, которая передает вращение от маховика на реечное колесо.
Обеспечивает необходимое передаточное число, чтобы тяжелая задняя бабка ДИП 300 плавно и без чрезмерных усилий перемещалась по направляющим станины.
Это цилиндрическая прямозубая шестерня. Она работает в закрытом или полуоткрытом корпусе внутри литья задней бабки.
","[{""spare_part_id"":""f45bb5cd-c152-46a3-bf34-296435d6ad9b""},{""spare_part_id"":""f45bb5cd-c152-46a3-bf34-296435d6ad9b""},{""spare_part_id"":""f45bb5cd-c152-46a3-bf34-296435d6ad9b""}]"
"Шарико-винтовая пара (ШВП) 16К20Т1.158.000.000/020","sarjko-vjntovaa-para-svp-16k20t1-158-000-000-020","[{""key"":""Устанавливается на станке:"",""value"":""16А20Ф3""},{""key"":""Общая длина, мм"",""value"":""622""},{""key"":""Общая длина резьбы, мм"",""value"":""407""}]","Шарико-винтовая пара (ШВП) 16К20Т1.158.000.000/020","Шарико-винтовая пара (ШВП) 16К20Т1.158.000.000/020 применяется в токарно-винторезном станке модели 16К20Т1 (РМЦ 1000 мм), 16А20Ф3.С32/С39
Эта ШВП входит в состав механизма поперечной подачи суппорта (группа 158), используется для преобразования вращательного движения в поступательное при поперечном перемещении с кинематической точностью внутришаговой 4-6 мкм и накопленной до 20 мкм/1000 мм, обеспечивая устранение люфта до 0,03 мм.
Станок 16К20Т1 предназначен для токарной обработки цилиндрических, конических поверхностей, нарезки резьб и сверления деталей массой до 2 тонн, длиной до 1000 мм в серийном производстве машиностроения.
","[]"
